JournalName,ImpactFactor2020,Source,Type
BMC Immunology,,SCI_Journals_2020,SCI
BMC Infectious Diseases,,SCI_Journals_2020,SCI
BMC International Health and Human Rights,,SCI_Journals_2020,SCI
BMC Medical Education,,SCI_Journals_2020,SCI
BMC Medical Ethics,,SCI_Journals_2020,SCI
BMC Medical Genetics,,SCI_Journals_2020,SCI
BMC Medical Imaging,,SCI_Journals_2020,SCI
BMC Medical Informatics and Decision Making,,SCI_Journals_2020,SCI
BMC Medical Research Methodology,,SCI_Journals_2020,SCI
BMC Medicine,,SCI_Journals_2020,SCI
BMC Microbiology,,SCI_Journals_2020,SCI
BMC Molecular and Cell Biology,,SCI_Journals_2020,SCI
BMC Molecular Biology,,SCI_Journals_2020,SCI
BMC Musculoskeletal Disorders,,SCI_Journals_2020,SCI
BMC Nephrology,,SCI_Journals_2020,SCI
BMC Neurology,,SCI_Journals_2020,SCI
BMC Neuroscience,,SCI_Journals_2020,SCI
BMC Nursing,,SCI_Journals_2020,SCI
BMC Obesity,,SCI_Journals_2020,SCI
BMC Ophthalmology,,SCI_Journals_2020,SCI
BMC Oral Health,,SCI_Journals_2020,SCI
BMC Palliative Care,,SCI_Journals_2020,SCI
BMC Pediatrics,,SCI_Journals_2020,SCI
BMC pharmacology & toxicology,,SCI_Journals_2020,SCI
BMC Physiology,,SCI_Journals_2020,SCI
Caderno CRH,,SCI_Journals_2020,SCI
Cadernos CEDES,,SCI_Journals_2020,SCI
Cadernos de Estudos Africanos,,SCI_Journals_2020,SCI
Cadernos de Pesquisa,,SCI_Journals_2020,SCI
Cadernos de Saude Publica,,SCI_Journals_2020,SCI
Cadernos do Laboratorio Xeoloxico de Laxe,,SCI_Journals_2020,SCI
Cadernos Pagu,,SCI_Journals_2020,SCI
Cahiers Agricultures,,SCI_Journals_2020,SCI
Cahiers des Etudes Anciennes,,SCI_Journals_2020,SCI
Cahiers d’Etudes Africaines,,SCI_Journals_2020,SCI
Cahiers Victoriens and Edouardiens,,SCI_Journals_2020,SCI
Cailiao Gongcheng/Journal of Materials Engineering,,SCI_Journals_2020,SCI
Cakrawala Pendidikan,,SCI_Journals_2020,SCI
Caldasia,,SCI_Journals_2020,SCI
Calidoscopio,,SCI_Journals_2020,SCI
California Agriculture,,SCI_Journals_2020,SCI
Calitatea Vietii,,SCI_Journals_2020,SCI
Canadian Family Physician,,SCI_Journals_2020,SCI
Canadian Geriatrics Journal,,SCI_Journals_2020,SCI
Canadian Journal of Bioethics,,SCI_Journals_2020,SCI
Canadian Journal of Dental Hygiene,,SCI_Journals_2020,SCI
Canadian Journal of Gastroenterology and Hepatology,,SCI_Journals_2020,SCI
Canadian Journal of Infectious Diseases and Medical Microbiology,,SCI_Journals_2020,SCI
Canadian Journal of Kidney Health and Disease,,SCI_Journals_2020,SCI
Canadian Journal of Learning and Technology,,SCI_Journals_2020,SCI
Canadian journal of rural medicine : the official journal of the Society of Rural Physicians of Canada = Journal canadien de la médecine rurale : le journal officiel de la Société de médecine rurale du Canada,,SCI_Journals_2020,SCI
Canadian Journal of Sociology,,SCI_Journals_2020,SCI
Canadian Journal of Speech-Language Pathology and Audiology,,SCI_Journals_2020,SCI
Canadian Journal of Surgery,,SCI_Journals_2020,SCI
Canadian Journal of Urban Research,,SCI_Journals_2020,SCI
Canadian Respiratory JournalCanadian Review of Comparative Literature,,SCI_Journals_2020,SCI
Canadian Studies in Population,,SCI_Journals_2020,SCI
Canadian Urological Association Journal,,SCI_Journals_2020,SCI
Cancer Biology and Medicine,,SCI_Journals_2020,SCI
Cancer Cell International,,SCI_Journals_2020,SCI
Cancer Communications,,SCI_Journals_2020,SCI
Cancer Control,,SCI_Journals_2020,SCI
Cancer Imaging,,SCI_Journals_2020,SCI
Cancer Informatics,,SCI_Journals_2020,SCI
Cancer Management and Research,,SCI_Journals_2020,SCI
Cancer Medicine,,SCI_Journals_2020,SCI
Cancer Nanotechnology,,SCI_Journals_2020,SCI
Cancer Research and Treatment,,SCI_Journals_2020,SCI
Cancer Science,,SCI_Journals_2020,SCI
Cancers,,SCI_Journals_2020,SCI
Capitale Culturale,,SCI_Journals_2020,SCI
Caplletra,,SCI_Journals_2020,SCI
Caravelle,,SCI_Journals_2020,SCI
Carbon Balance and Management,,SCI_Journals_2020,SCI
Cardiology Journal,,SCI_Journals_2020,SCI
Cardiology Research and Practice,,SCI_Journals_2020,SCI
Cardiovascular Diabetology,,SCI_Journals_2020,SCI
Cardiovascular Psychiatry and Neurology,,SCI_Journals_2020,SCI
Cardiovascular Therapeutics,,SCI_Journals_2020,SCI
Language Learning and Technology,,ArtsAndHumanities,SCI
Cultural Anthropology,,ArtsAndHumanities,SCI
Computational Linguistics,,ArtsAndHumanities,SCI
Journal of Eurasian Studies,,ArtsAndHumanities,SCI
Design Science,,ArtsAndHumanities,SCI
"Life Sciences, Society and Policy",,ArtsAndHumanities,SCI
Science and Technology of Archaeological Research,,ArtsAndHumanities,SCI
Heritage Science,,ArtsAndHumanities,SCI
Virtual Archaeology Review,,ArtsAndHumanities,SCI
Laboratory Phonology,,ArtsAndHumanities,SCI
Entrepreneurship and Sustainability Issues,,BusinessManagementAccounting,SCI
Financial Innovation,,BusinessManagementAccounting,SCI
International Journal of Health Geographics,,BusinessManagementAccounting,SCI
Operations Research Perspectives,,BusinessManagementAccounting,SCI
European Research on Management and Business Economics,,BusinessManagementAccounting,SCI
Journal of Civil Engineering and Management,,BusinessManagementAccounting,SCI
Research and Practice in Technology Enhanced Learning,,BusinessManagementAccounting,SCI
Eurasian Business Review,,BusinessManagementAccounting,SCI
International Journal of Design,,BusinessManagementAccounting,SCI
Journal of Small Business Strategy,,BusinessManagementAccounting,SCI
Journal of Statistical Software,,ComputerScience,SCI
npj Computational Materials,,ComputerScience,SCI
"Engineering Science and Technology, an International Journal",,ComputerScience,SCI
Journal of Machine Learning Research,,ComputerScience,SCI
Brain Informatics,,ComputerScience,SCI
npj Quantum Information,,ComputerScience,SCI
Egyptian Informatics Journal,,ComputerScience,SCI
Applied Computing and Informatics,,ComputerScience,SCI
Digital Communications and Networks,,ComputerScience,SCI
Scientific data,,ComputerScience,SCI
Ca-A Cancer Journal for Clinicians,,TopCiteScore,SCI
MMWR Recommendations and ReportsOpen Access,,TopCiteScore,SCI
Nature Reviews Materials,,TopCiteScore,SCI
Chemical Reviews,,TopCiteScore,SCI
Reviews of Modern Physics,,TopCiteScore,SCI
Nature Reviews Genetics,,TopCiteScore,SCI
Nature Reviews Molecular Cell Biology,,TopCiteScore,SCI
The Lancet,,TopCiteScore,SCI
Nature Energy,,TopCiteScore,SCI
Nature Reviews Cancer,,TopCiteScore,SCI
Advances in dental research,,TopCited,SCI
American Economic Journal: Economic Policy,,TopCited,SCI
Arboricultural Journal,,TopCited,SCI
Artifact,,TopCited,SCI
Child Abuse Review,,TopCited,SCI
Electronic Markets,,TopCited,SCI
Environmental Values,,TopCited,SCI
European Policy Analysis,,TopCited,SCI
Fish Physiology,,TopCited,SCI
"Forum of Mathematics, Pi",,TopCited,SCI
Foundations and Trends in Databases,,TopCited,SCI
Foundations and Trends in Networking,,TopCited,SCI
Foundations and Trends in Programming Languages,,TopCited,SCI
Foundations and Trends in Signal Processing,,TopCited,SCI
Handbook of Computational Economics,,TopCited,SCI
Information Systems Journal,,TopCited,SCI
Innovation Policy and the Economy,,TopCited,SCI
International Materials Reviews,,TopCited,SCI
Journal of Occupational Science,,TopCited,SCI
MMWR Recommendations and Reports,,TopCitedOpenAccess,SCI
MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC,,TopCitedOpenAccess,SCI
Living Reviews in Relativity,,TopCitedOpenAccess,SCI
World Psychiatry,,TopCitedOpenAccess,SCI
NursingPlus Open,,TopCitedOpenAccess,SCI
Science advances,,TopCitedOpenAccess,SCI
The Lancet Global Health,,TopCitedOpenAccess,SCI
Light: Science and Applications,,TopCitedOpenAccess,SCI
Living Reviews in Solar Physics,,TopCitedOpenAccess,SCI
Nucleic Acids Research,,TopCitedOpenAccess,SCI
MMWR Recommendations and Reports,,TopCitations,SCI
MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC,,TopCitations,SCI
Living Reviews in Relativity,,TopCitations,SCI
World Psychiatry,,TopCitations,SCI
Science advances,,TopCitations,SCI
The Lancet Global Health,,TopCitations,SCI
Light: Science and Applications,,TopCitations,SCI
Nucleic Acids Research,,TopCitations,SCI
Physical Review X,,TopCitations,SCI
