JournalName,ImpactFactor2020,Source,Type,Title,Publisher,ISSN,DoIsbyYear,BackFileDoIs,CurrentDoIs,TotalDoIs,Subjects,ImpactFactor,Journals_Metadata_Paths
Acta Limnologica Brasiliensia,,SCI_Journals_2020,SCI,Acta Limnologica Brasiliensia,SciELO,"['0102-6712', '0102-6712']","[[2012, 48], [2010, 48], [2018, 40], [2017, 24], [2013, 15], [2011, 11], [2016, 4]]",190.0,0.0,190.0,"[{'name': 'Aquatic Science', 'ASJC': 1104}, {'name': 'Ecology, Evolution, Behavior and Systematics', 'ASJC': 1105}, {'name': 'Ecology', 'ASJC': 2303}, {'name': 'Water Science and Technology', 'ASJC': 2312}, {'name': 'Aquatic Science', 'ASJC': 1104}, {'name': 'Ecology, Evolution, Behavior and Systematics', 'ASJC': 1105}, {'name': 'Ecology', 'ASJC': 2303}, {'name': 'Water Science and Technology', 'ASJC': 2312}]",35.231,Journals_Metadata/Acta Limnologica Brasiliensia.json
Acta Linguistica Asiatica,,SCI_Journals_2020,SCI,Acta Linguistica Asiatica,"""Faculty of Arts, University of Ljubljana""",['2232-3317'],"[[2012, 36], [2014, 28], [2015, 27], [2018, 19], [2011, 18], [2019, 17], [2017, 17], [2013, 17], [2016, 16], [2020, 13], [2021, 8]]",178.0,38.0,216.0,[],35.231,Journals_Metadata/Acta Linguistica Asiatica.json
Acta Literaria,,SCI_Journals_2020,SCI,Acta literaria,Universidad de Concepcion,['0717-6848'],"[[2016, 28], [2017, 27], [2015, 25], [2010, 24], [2019, 23], [2013, 23], [2012, 23], [2011, 22], [2009, 22], [2006, 22], [2005, 22], [2008, 21], [2014, 20], [2007, 20], [2018, 19], [2020, 15], [2002, 14], [2000, 13], [2004, 12], [2001, 12], [2003, 11]]",380.0,38.0,418.0,"[{'name': 'Literature and Literary Theory', 'ASJC': 1208}]",35.231,Journals_Metadata/Acta Literaria.json
Acta Logistica,,SCI_Journals_2020,SCI,Acta Logistica,"""4S go, s.r.o.""","['1339-5629', '1339-5629']","[[2020, 38], [2019, 29], [2014, 25], [2018, 24], [2016, 24], [2015, 24], [2017, 23], [2021, 11]]",120.0,78.0,198.0,[],35.231,Journals_Metadata/Acta Logistica.json
Acta Mathematica Universitatis Comenianae,,SCI_Journals_2020,SCI,,,,,,,,,35.231,Journals_Metadata/Acta Mathematica Universitatis Comenianae.json
Acta Mechanica et Automatica,,SCI_Journals_2020,SCI,Acta Mechanica et Automatica,De Gruyter Open Sp. z o.o. ,['2300-5319'],"[[2017, 52], [2016, 50], [2018, 47], [2015, 42], [2013, 41], [2014, 40], [2019, 37], [2020, 29]]",272.0,66.0,338.0,"[{'name': 'Control and Systems Engineering', 'ASJC': 2207}, {'name': 'Mechanical Engineering', 'ASJC': 2210}]",35.231,Journals_Metadata/Acta Mechanica et Automatica.json
Acta medica academica,,SCI_Journals_2020,SCI,Acta Medica Academica,Academy of Sciences and Arts of Bosnia anad Herzegovina,"['1840-2879', '1840-1848']","[[2012, 33], [2014, 30], [2013, 30], [2011, 28], [2016, 22], [2015, 15], [2019, 14], [2017, 14]]",172.0,14.0,186.0,"[{'name': 'General Medicine', 'ASJC': 2700}]",35.231,Journals_Metadata/Acta medica academica.json
Acta Medica Bulgarica,,SCI_Journals_2020,SCI,Acta Medica Bulgarica,De Gruyter Open Sp. z o.o. ,['0324-1750'],"[[2020, 50], [2019, 33], [2014, 25], [2018, 21], [2017, 20], [2016, 20], [2015, 20], [2021, 15]]",106.0,98.0,204.0,"[{'name': 'General Medicine', 'ASJC': 2700}]",35.231,Journals_Metadata/Acta Medica Bulgarica.json
Acta medica (Hradec Kralove),,SCI_Journals_2020,SCI,Acta Medica (Hradec Kralove Czech Republic),"""Charles University in Prague, Karolinum Press""","['1805-9694', '1211-4286']","[[2004, 65], [2007, 41], [2006, 40], [2012, 39], [2011, 38], [2003, 37], [2020, 35], [2008, 34], [2019, 32], [2017, 32], [2018, 30], [2013, 30], [2002, 30], [2010, 29], [2016, 28], [2014, 28], [2009, 28], [2015, 27], [2005, 26], [1998, 26], [2001, 25], [1999, 23], [1997, 22], [2000, 20], [2021, 12]]",698.0,79.0,777.0,"[{'name': 'General Medicine', 'ASJC': 2700}]",35.231,Journals_Metadata/Acta medica (Hradec Kralove).json
Acta medica Indonesiana,,SCI_Journals_2020,SCI,,,,,,,,,35.231,Journals_Metadata/Acta medica Indonesiana.json
Acta Medica Iranica,,SCI_Journals_2020,SCI,ACTA MEDICA IRANICA,Knowledge E,"['1735-9694', '0044-6025']","[[2020, 165], [2019, 73], [2021, 52]]",0.0,290.0,290.0,"[{'name': 'General Medicine', 'ASJC': 2700}]",35.231,Journals_Metadata/Acta Medica Iranica.json
Acta Medica Mediterranea,,SCI_Journals_2020,SCI,,,,,,,,,35.231,Journals_Metadata/Acta Medica Mediterranea.json
Acta Medica Portuguesa,,SCI_Journals_2020,SCI,,,,,,,,,35.231,Journals_Metadata/Acta Medica Portuguesa.json
Acta Medica Saliniana,,SCI_Journals_2020,SCI,Acta Medica Saliniana,University Clinical Centre Tuzla,"['1840-3956', '0350-364X']","[[2019, 22], [2008, 18], [2009, 17], [2017, 12], [2010, 12], [2013, 11], [2014, 10], [2012, 10], [2011, 9], [2020, 7], [2018, 5], [1970, 5]]",109.0,29.0,138.0,"[{'name': 'General Medicine', 'ASJC': 2700}]",35.231,Journals_Metadata/Acta Medica Saliniana.json
Acta Metallurgica Slovaca,,SCI_Journals_2020,SCI,Acta Metallurgica Slovaca,SciCell,"['1338-1156', '1335-1532']","[[2017, 53], [2014, 53], [2018, 44], [2015, 43], [2019, 39], [2013, 38], [2016, 36], [2020, 34], [2021, 7]]",267.0,80.0,347.0,"[{'name': 'Metals and Alloys', 'ASJC': 2506}]",35.231,Journals_Metadata/Acta Metallurgica Slovaca.json
Acta Mycologica,,SCI_Journals_2020,SCI,Acta Mycologica,Polish Botanical Society,"['2353-074X', '0001-625X']","[[2014, 826], [2013, 225], [2016, 22], [2019, 19], [2017, 15], [2018, 14], [2015, 13], [2021, 12], [2020, 10]]",1115.0,41.0,1156.0,"[{'name': 'Ecology, Evolution, Behavior and Systematics', 'ASJC': 1105}, {'name': 'Plant Science', 'ASJC': 1110}]",35.231,Journals_Metadata/Acta Mycologica.json
Acta Neophilologica,,SCI_Journals_2020,SCI,Acta Neophilologica,"""Faculty of Arts, University of Ljubljana""","['2350-417X', '0567-784X']","[[1999, 26], [1998, 24], [2017, 22], [1991, 22], [1993, 20], [2012, 18], [1997, 18], [1989, 18], [2020, 17], [2009, 17], [2007, 17], [1994, 16], [2006, 15], [2019, 14], [2004, 14], [2002, 14], [1992, 14], [1990, 14], [1988, 14], [2016, 13], [2011, 13], [2010, 13], [2005, 13], [2018, 12], [2003, 12], [2000, 12], [2015, 11], [2014, 11], [2008, 11], [2013, 10], [2001, 10], [1985, 2]]",446.0,31.0,477.0,[],35.231,Journals_Metadata/Acta Neophilologica.json
Acta Neurobiologiae Experimentalis,,SCI_Journals_2020,SCI,Acta Neurobiologiae Experimentalis,"""Exeley, Inc.""","['1689-0035', '0065-1400']","[[2020, 48], [2017, 38], [2018, 35], [2016, 31], [2019, 23], [2021, 9]]",104.0,80.0,184.0,"[{'name': 'General Medicine', 'ASJC': 2700}, {'name': 'General Neuroscience', 'ASJC': 2800}]",35.231,Journals_Metadata/Acta Neurobiologiae Experimentalis.json
Acta neuropathologica communications,,SCI_Journals_2020,SCI,Acta Neuropathologica Communications,Springer (Biomed Central Ltd.),"['2051-5960', '2051-5960']","[[2020, 223], [2019, 222], [2014, 157], [2018, 147], [2016, 131], [2017, 99], [2015, 89], [2013, 85], [2021, 54]]",708.0,499.0,1207.0,[],35.231,Journals_Metadata/Acta neuropathologica communications.json
Acta of Bioengineering and Biomechanics,,SCI_Journals_2020,SCI,Acta of Bioengineering and Biomechanics,Politechnika Wroclawska Oficyna Wydawnicza,"['1509-409X', '1509-409X']","[[2020, 74], [2021, 18], [2019, 18]]",0.0,110.0,110.0,"[{'name': 'Biophysics', 'ASJC': 1304}, {'name': 'Bioengineering', 'ASJC': 1502}, {'name': 'Biomedical Engineering', 'ASJC': 2204}, {'name': 'Biomaterials', 'ASJC': 2502}]",35.231,Journals_Metadata/Acta of Bioengineering and Biomechanics.json
Acta Orthopaedica,,SCI_Journals_2020,SCI,Acta Orthopaedica,Informa UK (Taylor & Francis),"['1745-3682', '1745-3674']","[[2020, 165], [2006, 164], [2005, 162], [2014, 155], [2010, 144], [2009, 143], [2016, 135], [2008, 135], [2011, 134], [2007, 134], [2017, 126], [2019, 122], [2013, 120], [2015, 114], [2012, 111], [2018, 106], [2021, 54], [2004, 47], [1992, 27], [1994, 25], [1988, 23], [1997, 6], [1962, 5], [1981, 1]]",2017.0,341.0,2358.0,"[{'name': 'General Medicine', 'ASJC': 2700}, {'name': 'Orthopedics and Sports Medicine', 'ASJC': 2732}]",35.231,Journals_Metadata/Acta Orthopaedica.json
Acta Orthopaedica et Traumatologica Turcica,,SCI_Journals_2020,SCI,Acta Orthopaedica et Traumatologica Turcica,AVES Publishing Co.,"['2589-1294', '1017-995X']","[[2015, 226], [2016, 139], [2014, 125], [2020, 107], [2019, 102], [2017, 99], [2018, 94], [2009, 87], [2008, 83], [2012, 81], [2010, 79], [2013, 78], [2011, 60], [2021, 41], [2003, 1]]",1152.0,250.0,1402.0,"[{'name': 'General Medicine', 'ASJC': 2700}, {'name': 'Orthopedics and Sports Medicine', 'ASJC': 2732}, {'name': 'Surgery', 'ASJC': 2746}]",35.231,Journals_Metadata/Acta Orthopaedica et Traumatologica Turcica.json
Acta Ortopedica Brasileira,,SCI_Journals_2020,SCI,,,,,,,,,35.231,Journals_Metadata/Acta Ortopedica Brasileira.json
Acta Otorhinolaryngologica Italica,,SCI_Journals_2020,SCI,Acta Otorhinolaryngologica Italica,Pacini Editore,['1827-675X'],"[[2017, 77], [2020, 74], [2016, 74], [2018, 70], [2019, 61], [2015, 24], [2021, 16]]",245.0,151.0,396.0,"[{'name': 'Otorhinolaryngology', 'ASJC': 2733}]",35.231,Journals_Metadata/Acta Otorhinolaryngologica Italica.json
Acta Palaeobotanica,,SCI_Journals_2020,SCI,Acta Palaeobotanica,W. Szafer Institute of Botany Polish Academy of Sciences,[],,,,,[],35.231,Journals_Metadata/Acta Palaeobotanica.json
Acta Palaeontologica Polonica,,SCI_Journals_2020,SCI,Acta Palaeontologica Polonica,"""Polska Akademia Nauk Instytut Paleobiologii Institute of Paleobiology, Polish Academy of Sciences)""","['1732-2421', '0567-7920']","[[2012, 151], [2011, 92], [2009, 70], [2013, 69], [2010, 68], [2018, 65], [2008, 59], [2019, 58], [2020, 55], [2017, 55], [2014, 51], [2016, 38], [2015, 26], [2021, 14]]",744.0,127.0,871.0,"[{'name': 'Palaeontology', 'ASJC': 1911}]",35.231,Journals_Metadata/Acta Palaeontologica Polonica.json
ACTA Paulista de Enfermagem,,SCI_Journals_2020,SCI,Acta Paulista de Enfermagem,SciELO,['0103-2100'],"[[2012, 209], [2009, 146], [2011, 129], [2010, 129], [2020, 112], [2019, 100], [2008, 100], [2015, 99], [2016, 98], [2013, 97], [2014, 96], [2018, 95], [2007, 78], [2006, 65], [2017, 64], [2005, 61], [2021, 42]]",1466.0,254.0,1720.0,"[{'name': 'Advanced and Specialised Nursing', 'ASJC': 2902}, {'name': 'Medical–Surgical', 'ASJC': 2914}]",35.231,Journals_Metadata/ACTA Paulista de Enfermagem.json
Acta Pediatrica de Mexico,,SCI_Journals_2020,SCI,,,,,,,,,35.231,Journals_Metadata/Acta Pediatrica de Mexico.json
Acta Periodica Technologica,,SCI_Journals_2020,SCI,Acta periodica technologica,National Library of Serbia,"['2406-095X', '1450-7188']","[[2019, 40], [2012, 32], [2013, 31], [2004, 30], [2017, 28], [2011, 28], [2005, 26], [2015, 24], [2016, 23], [2014, 23], [2009, 23], [2008, 23], [2006, 21], [2010, 20], [2007, 20], [2020, 17], [2018, 17], [2002, 17], [2003, 14]]",400.0,57.0,457.0,"[{'name': 'General Engineering', 'ASJC': 2200}]",35.231,Journals_Metadata/Acta Periodica Technologica.json
Acta Pharmaceutica,,SCI_Journals_2020,SCI,Pharmaceutica Analytica Acta,OMICS Publishing Group,"['2153-2435', '2153-2435']","[[2015, 169], [2013, 115], [2012, 114], [2016, 60], [2014, 58], [2011, 56], [2017, 50], [2018, 43], [2010, 15], [2019, 4]]",680.0,4.0,684.0,[],35.231,Journals_Metadata/Acta Pharmaceutica.json
Acta Pharmaceutica Sinica B,,SCI_Journals_2020,SCI,,,,,,,,,35.231,Journals_Metadata/Acta Pharmaceutica Sinica B.json
Acta Physica Polonica B,,SCI_Journals_2020,SCI,Acta Physica Polonica B,Jagiellonian University,"['1509-5770', '0587-4254']","[[2017, 253], [2011, 240], [2015, 237], [2013, 222], [2020, 207], [2016, 203], [2019, 180], [2014, 178], [2012, 172], [2018, 166], [2021, 15]]",1671.0,402.0,2073.0,"[{'name': 'General Physics and Astronomy', 'ASJC': 3100}]",35.231,Journals_Metadata/Acta Physica Polonica B.json
Acta Phytotaxonomica et Geobotanica,,SCI_Journals_2020,SCI,,,,,,,,,35.231,Journals_Metadata/Acta Phytotaxonomica et Geobotanica.json
Acta Poetica,,SCI_Journals_2020,SCI,,,,,,,,,35.231,Journals_Metadata/Acta Poetica.json
Acta Politologica,,SCI_Journals_2020,SCI,ACTA POLITOLOGICA,"""Charles University in Prague, Karolinum Press""",['1803-8220'],"[[2021, 8], [2020, 8], [2017, 5]]",5.0,16.0,21.0,[],35.231,Journals_Metadata/Acta Politologica.json
Acta Poloniae Pharmaceutica,,SCI_Journals_2020,SCI,Acta Poloniae Pharmaceutica - Drug Research,Polish Pharmaceutical Society,['0001-6837'],"[[2019, 114], [2020, 82], [2018, 64], [2021, 31]]",64.0,227.0,291.0,"[{'name': 'Pharmaceutical Science', 'ASJC': 3003}, {'name': 'Pharmacology', 'ASJC': 3004}]",35.231,Journals_Metadata/Acta Poloniae Pharmaceutica.json
Acta Polytechnica,,SCI_Journals_2020,SCI,Acta Polytechnica CTU Proceedings,Czech Technical University in Prague - Central Library,['2336-5382'],"[[2017, 97], [2018, 86], [2016, 77], [2015, 75], [2019, 72], [2020, 63], [2014, 62], [2021, 31]]",397.0,166.0,563.0,[],35.231,Journals_Metadata/Acta Polytechnica.json
Acta Polytechnica Hungarica,,SCI_Journals_2020,SCI,Acta Polytechnica Hungarica,Obuda University,"['1785-8860', '1785-8860']","[[2014, 137], [2020, 126], [2013, 122], [2019, 107], [2015, 102], [2016, 86], [2018, 56], [2017, 44], [2021, 39]]",547.0,272.0,819.0,"[{'name': 'General Engineering', 'ASJC': 2200}]",35.231,Journals_Metadata/Acta Polytechnica Hungarica.json
Acta Protozoologica,,SCI_Journals_2020,SCI,Acta Protozoologica,Uniwersytet Jagiellonski - Wydawnictwo Uniwersytetu Jagiellonskiego,"['1689-0027', '0065-1583']","[[2017, 27], [2019, 19], [2018, 18], [2020, 8], [2021, 3], [2016, 3], [2014, 1], [2013, 1]]",50.0,30.0,80.0,"[{'name': 'General Agricultural and Biological Sciences', 'ASJC': 1100}]",35.231,Journals_Metadata/Acta Protozoologica.json
Acta Reumatologica Portuguesa,,SCI_Journals_2020,SCI,,,,,,,,,35.231,Journals_Metadata/Acta Reumatologica Portuguesa.json
Acta Scientiarum – Agronomy,,SCI_Journals_2020,SCI,,,,,,,,,35.231,Journals_Metadata/Acta Scientiarum – Agronomy.json
Acta Scientiarum – Animal Sciences,,SCI_Journals_2020,SCI,,,,,,,,,35.231,Journals_Metadata/Acta Scientiarum – Animal Sciences.json
Acta Scientiarum – Biological Sciences,,SCI_Journals_2020,SCI,,,,,,,,,35.231,Journals_Metadata/Acta Scientiarum – Biological Sciences.json
Acta Scientiarum – Health Sciences,,SCI_Journals_2020,SCI,,,,,,,,,35.231,Journals_Metadata/Acta Scientiarum – Health Sciences.json
Acta Scientiarum Language and Culture,,SCI_Journals_2020,SCI,Acta Scientiarum Language and Culture,Universidade Estadual de Maringa,"['1983-4683', '1983-4675']","[[2014, 51], [2015, 47], [2012, 46], [2016, 45], [2020, 41], [2018, 41], [2019, 40], [2011, 40], [2010, 40], [2009, 35], [2013, 34], [2008, 34], [2017, 33], [2021, 13]]",446.0,94.0,540.0,"[{'name': 'Language and Linguistics', 'ASJC': 1203}, {'name': 'Literature and Literary Theory', 'ASJC': 1208}, {'name': 'Linguistics and Language', 'ASJC': 3310}, {'name': 'Language and Linguistics', 'ASJC': 1203}, {'name': 'Literature and Literary Theory', 'ASJC': 1208}, {'name': 'Linguistics and Language', 'ASJC': 3310}]",35.231,Journals_Metadata/Acta Scientiarum Language and Culture.json
"Acta Scientiarum Polonorum, Administratio Locorum",,SCI_Journals_2020,SCI,Acta Scientiarum Polonorum Administratio Locorum,Uniwersytet Warminsko-Mazurski,"['2450-0771', '1644-0749']","[[2018, 48], [2020, 20], [2016, 18], [2017, 12], [2019, 9], [2021, 5], [2015, 2]]",80.0,34.0,114.0,[],35.231,"Journals_Metadata/Acta Scientiarum Polonorum, Administratio Locorum.json"
"Acta Scientiarum Polonorum, Hortorum Cultus",,SCI_Journals_2020,SCI,Acta Scientiarum Polonorum Hortorum Cultus,Uniwersytet Przyrodniczy w Lublinie,"['2545-1405', '1644-0692']","[[2019, 118], [2018, 106], [2020, 70], [2017, 70], [2021, 23]]",176.0,211.0,387.0,"[{'name': 'Horticulture', 'ASJC': 1108}, {'name': 'Plant Science', 'ASJC': 1110}]",35.231,"Journals_Metadata/Acta Scientiarum Polonorum, Hortorum Cultus.json"
Acta Scientiarum – Technology,,SCI_Journals_2020,SCI,,,,,,,,,35.231,Journals_Metadata/Acta Scientiarum – Technology.json
Acta Silvatica et Lignaria Hungarica,,SCI_Journals_2020,SCI,Acta Silvatica et Lignaria Hungarica,Acta Silvatica et Lignaria Hungarica,"['1787-064X', '1787-064X']","[[2016, 14], [2013, 13], [2015, 12], [2014, 12], [2012, 12], [2017, 10], [2018, 9], [2020, 8], [2019, 7], [2021, 1]]",82.0,16.0,98.0,"[{'name': 'Forestry', 'ASJC': 1107}]",35.231,Journals_Metadata/Acta Silvatica et Lignaria Hungarica.json
Acta Societatis Botanicorum Poloniae,,SCI_Journals_2020,SCI,Acta Societatis Botanicorum Poloniae,Polish Botanical Society,"['2083-9480', '0001-6977']","[[2014, 1102], [2015, 1067], [2017, 866], [2011, 387], [2016, 50], [2012, 50], [2018, 41], [2013, 40], [1976, 36], [2019, 31], [2020, 25], [2021, 4], [1978, 2], [1981, 1]]",3642.0,60.0,3702.0,"[{'name': 'Plant Science', 'ASJC': 1110}]",35.231,Journals_Metadata/Acta Societatis Botanicorum Poloniae.json
Acta Stomatologica Croatica,,SCI_Journals_2020,SCI,Acta Stomatologica Croatica,University of Zagreb School of Dental Medicine,"['1846-0410', '0001-7019']","[[2016, 43], [2020, 42], [2018, 42], [2015, 41], [2019, 40], [2017, 40], [2014, 39], [2013, 39], [2021, 10]]",244.0,92.0,336.0,"[{'name': 'General Dentistry', 'ASJC': 3500}]",35.231,Journals_Metadata/Acta Stomatologica Croatica.json
Acta Stomatologica Naissi,,SCI_Journals_2020,SCI,Acta stomatologica Naissi,Centre for Evaluation in Education and Science,"['1820-1202', '0352-5252']","[[2013, 15], [2020, 12], [2017, 11], [2014, 11], [2012, 11], [2018, 10], [2016, 10], [2015, 10], [2011, 10], [2019, 9]]",88.0,21.0,109.0,"[{'name': 'General Dentistry', 'ASJC': 3500}]",35.231,Journals_Metadata/Acta Stomatologica Naissi.json
Acta Tabacaria Sinica,,SCI_Journals_2020,SCI,,,,,,,,,35.231,Journals_Metadata/Acta Tabacaria Sinica.json
Acta Technologica Agriculturae,,SCI_Journals_2020,SCI,Acta Technologica Agriculturae,De Gruyter Open Sp. z o.o. ,"['1338-5267', '1335-2555']","[[2020, 32], [2018, 30], [2013, 27], [2019, 26], [2014, 25], [2015, 24], [2016, 22], [2017, 21], [2021, 8]]",149.0,66.0,215.0,[],35.231,Journals_Metadata/Acta Technologica Agriculturae.json
Acta Theologica,,SCI_Journals_2020,SCI,Acta Theologica,Sun Media Bloemfontein Pty Ltd,"['2309-9089', '1015-8758']","[[2016, 140], [2010, 85], [2004, 83], [2009, 72], [2011, 71], [2020, 65], [2013, 62], [2019, 55], [2018, 50], [2014, 46], [2017, 38], [2002, 29], [2007, 20], [2012, 10], [2015, 1]]",707.0,120.0,827.0,"[{'name': 'Religious studies', 'ASJC': 1212}]",35.231,Journals_Metadata/Acta Theologica.json
Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis,,SCI_Journals_2020,SCI,Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis,Mendel University  Press,"['1211-8516', '1211-8516']","[[2014, 1377], [2013, 661], [2015, 397], [2017, 258], [2016, 248], [2018, 164], [2019, 149], [2020, 94], [2021, 27], [2012, 1]]",3106.0,270.0,3376.0,"[{'name': 'General Agricultural and Biological Sciences', 'ASJC': 1100}]",35.231,Journals_Metadata/Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis.json
"Acta Universitatis Carolinae, Geographica",,SCI_Journals_2020,SCI,,,,,,,,,35.231,"Journals_Metadata/Acta Universitatis Carolinae, Geographica.json"
"Acta Universitatis Sapientiae, Mathematica",,SCI_Journals_2020,SCI,Acta Universitatis Sapientiae Mathematica,De Gruyter Open Sp. z o.o. ,['2066-7752'],"[[2019, 32], [2018, 32], [2017, 29], [2020, 28], [2016, 21], [2015, 18], [2013, 14], [2014, 7]]",121.0,60.0,181.0,"[{'name': 'General Mathematics', 'ASJC': 2600}]",35.231,"Journals_Metadata/Acta Universitatis Sapientiae, Mathematica.json"
"Acta Universitatis Sapientiae, Philologica",,SCI_Journals_2020,SCI,Acta Universitatis Sapientiae Philologica,De Gruyter Open Sp. z o.o. ,['2068-2956'],"[[2014, 10]]",10.0,0.0,10.0,[],35.231,"Journals_Metadata/Acta Universitatis Sapientiae, Philologica.json"
Acta Veterinaria,,SCI_Journals_2020,SCI,Acta Veterinaria Indonesiana,Institut Pertanian Bogor,"['2337-4373', '2337-3202']","[[2016, 32], [2020, 29], [2018, 25], [2019, 16], [2017, 12], [2013, 12], [2014, 7]]",88.0,45.0,133.0,[],35.231,Journals_Metadata/Acta Veterinaria.json
Acta Veterinaria Brasilica,,SCI_Journals_2020,SCI,Acta Veterinaria Brasilica,Editora da Universidade Federal Rural do Semi-Arido - EdUFERSA,['1981-5484'],"[[2016, 81], [2015, 74], [2014, 65], [2020, 57], [2013, 47], [2017, 45], [2019, 42], [2018, 19], [2021, 17], [2010, 4], [2009, 4], [2012, 2]]",341.0,116.0,457.0,"[{'name': 'General Veterinary', 'ASJC': 3400}]",35.231,Journals_Metadata/Acta Veterinaria Brasilica.json
Acta Veterinaria Brno,,SCI_Journals_2020,SCI,Acta Veterinaria Brno,University of Veterinary and Pharmaceutical Sciences,"['1801-7576', '0001-7213']","[[2010, 100], [2007, 98], [2009, 88], [2008, 88], [2005, 84], [2003, 81], [2014, 80], [2006, 79], [2002, 76], [2004, 75], [2013, 74], [2012, 69], [2011, 65], [2019, 60], [2001, 59], [2017, 55], [2016, 55], [2015, 55], [2018, 51], [2020, 49], [1998, 44], [1993, 43], [2000, 41], [1991, 41], [1987, 41], [1995, 37], [1999, 32], [1997, 32], [1996, 32], [1986, 30], [1980, 28], [1992, 26], [1978, 26], [1981, 25], [1994, 23], [1989, 23], [1985, 21], [1984, 19], [1983, 19], [1990, 17], [2021, 15], [1988, 15], [1982, 13], [1979, 13]]",1973.0,124.0,2097.0,"[{'name': 'General Veterinary', 'ASJC': 3400}]",35.231,Journals_Metadata/Acta Veterinaria Brno.json
Acta Veterinaria Scandinavica,,SCI_Journals_2020,SCI,Acta Veterinaria Scandinavica,Springer (Biomed Central Ltd.),"['1751-0147', '1751-0147']","[[2003, 197], [2015, 187], [2010, 99], [2012, 95], [2014, 90], [2013, 89], [2017, 86], [1989, 83], [2018, 81], [1980, 81], [1988, 78], [2011, 75], [1977, 70], [1982, 68], [2020, 67], [1981, 67], [1979, 67], [1978, 67], [1975, 67], [1973, 67], [1991, 66], [2006, 64], [2019, 63], [2008, 63], [1986, 63], [1970, 62], [2001, 61], [1995, 61], [1994, 61], [1987, 60], [1984, 60], [1985, 59], [1974, 59], [1983, 58], [1993, 57], [2009, 56], [2007, 56], [1976, 56], [1972, 55], [1998, 52], [1990, 51], [1971, 51], [1996, 49], [1992, 49], [1999, 39], [1997, 39], [1967, 39], [1969, 38], [2000, 37], [2004, 36], [2002, 36], [1968, 36], [1964, 34], [1966, 32], [1965, 32], [1963, 32], [1961, 32], [2016, 30], [1960, 30], [2005, 26], [1962, 25], [2021, 20]]",3616.0,150.0,3766.0,"[{'name': 'General Medicine', 'ASJC': 2700}, {'name': 'General Veterinary', 'ASJC': 3400}]",35.231,Journals_Metadata/Acta Veterinaria Scandinavica.json
Acta Zoologica Academiae Scientiarum Hungaricae,,SCI_Journals_2020,SCI,Acta Zoologica Academiae Scientiarum Hungaricae,Acta Zoologica Hungarica,"['2064-2474', '1217-8837']","[[2020, 35], [2019, 32], [2015, 25], [2017, 23], [2018, 21], [2016, 15], [2021, 6]]",84.0,73.0,157.0,"[{'name': 'Ecology, Evolution, Behavior and Systematics', 'ASJC': 1105}]",35.231,Journals_Metadata/Acta Zoologica Academiae Scientiarum Hungaricae.json
Acta Zoologica Bulgarica,,SCI_Journals_2020,SCI,,,,,,,,,35.231,Journals_Metadata/Acta Zoologica Bulgarica.json
Active and Passive Electronic Components,,SCI_Journals_2020,SCI,Active and Passive Electronic Components,Hindawi Limited,"['1563-5031', '0882-7516']","[[1998, 47], [1995, 38], [1994, 33], [2012, 31], [2002, 31], [2001, 30], [2003, 29], [1993, 29], [2000, 24], [2013, 23], [2011, 23], [2004, 23], [1997, 22], [2016, 20], [2008, 19], [1996, 19], [2017, 18], [2007, 17], [1987, 16], [2014, 15], [2018, 12], [1999, 11], [1992, 11], [2019, 10], [2015, 10], [1989, 10], [1988, 10], [1990, 9], [2009, 8], [1985, 8], [2010, 7], [1991, 6], [1986, 6], [2020, 5], [2021, 1]]",615.0,16.0,631.0,"[{'name': 'Electrical and Electronic Engineering', 'ASJC': 2208}, {'name': 'Electronic, Optical and Magnetic Materials', 'ASJC': 2504}]",35.231,Journals_Metadata/Active and Passive Electronic Components.json
Actuators,,SCI_Journals_2020,SCI,Sensors and Actuators Reports,Elsevier ,['2666-0539'],"[[2020, 21], [2021, 17], [2019, 2]]",0.0,40.0,40.0,[],35.231,Journals_Metadata/Actuators.json
Adansonia,,SCI_Journals_2020,SCI,Adansonia,"""BioOne (Museum National d'Histoire Naturelle, Paris, France)""","['1639-4798', '1280-8571']","[[2012, 29], [2014, 27], [2009, 27], [2011, 25], [2016, 23], [2020, 21], [2013, 19], [2019, 15], [2018, 15], [2017, 15], [2015, 15], [2010, 15], [2021, 8]]",210.0,44.0,254.0,"[{'name': 'Plant Science', 'ASJC': 1110}]",35.231,Journals_Metadata/Adansonia.json
Addiction science & clinical practice,,SCI_Journals_2020,SCI,Addiction Science & Clinical Practice,Springer (Biomed Central Ltd.),"['1940-0640', '1940-0632']","[[2015, 163], [2012, 125], [2013, 111], [2019, 47], [2017, 35], [2020, 32], [2021, 31], [2018, 28], [2014, 22], [2016, 17], [2007, 8], [2009, 7], [2008, 7]]",523.0,110.0,633.0,"[{'name': 'General Medicine', 'ASJC': 2700}]",35.231,Journals_Metadata/Addiction science & clinical practice.json
